symbol,timeframe,direction,mode,entry_ts,exit_ts,entry,sl,tp,exit_price,exit_reason,score,cnt,src,risk,r,pnl_pct,bars_held
BTC/USDT,15m,short,reversion,2022-01-04 08:00:00+00:00,2022-01-04 14:45:00+00:00,46633.69285714285,47284.389649116194,45696.0,47284.389649116194,sl,4.2,4,피보 가격대 넥라인 돌파선,650.6967919733434,-1.0721673163789829,-1.4960338555294435,27
BTC/USDT,15m,short,reversion,2022-01-05 03:15:00+00:00,2022-01-05 05:15:00+00:00,46505.50929714285,46667.756534706714,46281.93995746479,46281.93995746479,tp,4.55,4,피보 돌파선 FVG,162.24723756386084,1.0920100564487087,0.3809776900167048,8
BTC/USDT,15m,short,reversion,2022-01-05 09:15:00+00:00,2022-01-05 09:15:00+00:00,46769.724902315786,46837.02757659231,46669.89629629629,46837.02757659231,sl,4.75,4,피보 가격대 FVG,67.30267427652143,-1.6954162927784495,-0.2439741750765046,0
BTC/USDT,15m,short,reversion,2022-01-05 10:00:00+00:00,2022-01-05 10:15:00+00:00,47059.351951549295,47270.89228526723,46771.1342096,46771.1342096,tp,3.55,3,피보 FVG,211.54033371793776,1.1406926264495085,0.5127620523061107,1
BTC/USDT,15m,short,reversion,2022-01-05 15:15:00+00:00,2022-01-05 16:45:00+00:00,46595.298437499994,46809.119028389854,46292.3444,46292.3444,tp,3.2,3,피보 가격대 넥라인,213.8205908898599,1.1996516098553491,0.5505066491317984,6
BTC/USDT,15m,short,reversion,2022-01-07 13:30:00+00:00,2022-01-07 13:30:00+00:00,42307.37112676057,42990.09363102067,41552.3982,41552.3982,tp,3.55,3,피보 FVG,682.7225042600985,1.0444112178050238,1.685387257839251,0
BTC/USDT,15m,long,reversion,2022-01-13 04:45:00+00:00,2022-01-13 14:15:00+00:00,43600.18630313044,43255.41579337243,44077.29629629629,44077.29629629629,tp,5.75,5,피보 가격대 FVG,344.77050975801103,1.2566946406473296,0.9937371571163034,38
BTC/USDT,15m,long,reversion,2022-01-13 14:45:00+00:00,2022-01-13 15:15:00+00:00,44049.77198986666,43451.97488261299,44821.17253411765,43451.97488261299,sl,3.75,4,피보 가격대 넥라인 FVG,597.7971072536748,-1.073186826944069,-1.456416121376288,2
BTC/USDT,15m,long,reversion,2022-01-13 17:15:00+00:00,2022-01-13 17:15:00+00:00,42851.529361702116,42610.53055570519,43136.16888888889,42610.53055570519,sl,4.7,4,피보 가격대 돌파선 FVG,240.9988059969255,-1.1773080567015288,-0.6621230098013917,0
BTC/USDT,15m,long,reversion,2022-01-13 20:00:00+00:00,2022-01-13 20:00:00+00:00,42476.45565217391,42344.21459561558,42845.084444444445,42344.21459561558,sl,4.6000000000000005,4,가격대 돌파선,132.24105655832682,-1.3207047510633663,-0.41117223412514897,0
BTC/USDT,15m,short,reversion,2022-01-14 04:00:00+00:00,2022-01-14 04:15:00+00:00,42776.22877726315,42861.658987708804,41997.02335529412,42861.658987708804,sl,4.75,4,피보 가격대 돌파선,85.43021044565103,-1.5012154793850887,-0.2998140742979785,1
BTC/USDT,15m,short,reversion,2022-01-14 04:30:00+00:00,2022-01-14 05:45:00+00:00,42774.1564512,42862.50568327953,41997.02335529412,42862.50568327953,sl,3.75,3,피보 가격대,88.34923207953398,-1.4846485935349585,-0.30665143168029424,5
BTC/USDT,15m,short,reversion,2022-01-14 10:30:00+00:00,2022-01-14 10:45:00+00:00,42446.2247448,42708.21121098462,42147.901061860466,42147.901061860466,tp,5.0,5,피보 가격대 넥라인,261.98646618462226,0.9772513205158441,0.6031787787383068,1
BTC/USDT,15m,short,reversion,2022-01-14 12:30:00+00:00,2022-01-14 12:45:00+00:00,42068.1732275,42224.30079075795,41719.903104,42224.30079075795,sl,4.8,4,피보 가격대,156.12756325794908,-1.2699474463679183,-0.47131545074428455,1
BTC/USDT,15m,short,reversion,2022-01-14 14:30:00+00:00,2022-01-14 14:45:00+00:00,42457.214688421045,42727.512365786155,42050.35430333333,42727.512365786155,sl,5.7,5,피보 가격대,270.29767736510985,-1.1575757658826316,-0.7369537620129023,1
BTC/USDT,15m,short,reversion,2022-01-14 15:00:00+00:00,2022-01-14 19:30:00+00:00,43140.07679574468,43389.28908070336,42068.1732275,43389.28908070336,sl,4.7,4,피보 가격대 돌파선 FVG,249.21228495868127,-1.1736057391608814,-0.6779704386751465,18
BTC/USDT,15m,short,reversion,2022-01-15 13:15:00+00:00,2022-01-15 14:30:00+00:00,42888.74332847825,43031.683245430075,42277.724376470585,43031.683245430075,sl,4.6,4,피보 FVG,142.93991695182194,-1.3005473502648945,-0.43344737059557975,5
BTC/USDT,15m,long,reversion,2022-01-16 11:00:00+00:00,2022-01-16 11:00:00+00:00,42854.31014084507,42784.75223108846,43030.59,42784.75223108846,sl,3.55,3,피보 돌파선,69.55790975660784,-1.6155954274042716,-0.2622313614972092,0
BTC/USDT,15m,long,reversion,2022-01-16 19:45:00+00:00,2022-01-16 20:15:00+00:00,42828.17567567567,42707.61557106371,43016.843605633796,43016.843605633796,tp,3.7,3,피보 가격대 돌파선,120.56010461196274,1.2089025701044913,0.3403026582807365,2
BTC/USDT,15m,short,reversion,2022-01-17 12:15:00+00:00,2022-01-17 12:15:00+00:00,42727.269789599995,42856.55249364308,42463.10687784615,42463.10687784615,tp,3.75,3,피보 가격대,129.2827040430857,1.7138234001222818,0.5185627925940036,0
BTC/USDT,15m,short,reversion,2022-01-17 13:00:00+00:00,2022-01-17 14:00:00+00:00,42562.41262183486,42706.06481360563,42130.9474816,42706.06481360563,sl,5.45,5,피보 가격대 넥라인,143.65219177077233,-1.2967879444941033,-0.437678268249592,4
BTC/USDT,15m,short,reversion,2022-01-17 14:15:00+00:00,2022-01-17 14:15:00+00:00,42741.677113333324,42858.84680921282,42562.41262183486,42562.41262183486,tp,4.95,4,피보 가격대,117.16969587949279,1.1659366835890972,0.3196235053403239,0
BTC/USDT,15m,short,reversion,2022-01-17 15:15:00+00:00,2022-01-17 16:45:00+00:00,42562.41262183486,42707.607965507275,42130.9474816,42130.9474816,tp,5.45,5,피보 가격대 넥라인,145.1953436724143,2.6799651444819172,0.9142302708270877,6
BTC/USDT,15m,short,reversion,2022-01-18 06:45:00+00:00,2022-01-18 07:00:00+00:00,42297.69671818181,42363.127411059126,42139.48031323077,42139.48031323077,tp,6.6000000000000005,6,피보 가격대 넥라인 돌파선,65.43069287731487,1.7728349087305784,0.2742414491460263,1
BTC/USDT,15m,short,reversion,2022-01-18 21:15:00+00:00,2022-01-18 21:15:00+00:00,42287.54217391304,42391.08855656116,42119.76181818181,41960.94,tp,4.6000000000000005,4,가격대 FVG,103.54638264812093,2.7473478604541413,0.6727227883241079,0
BTC/USDT,15m,short,reversion,2022-01-18 21:30:00+00:00,2022-01-18 21:30:00+00:00,42300.75304347826,42415.22901680679,41752.77727272726,42415.22901680679,sl,4.6000000000000005,4,가격대 돌파선,114.47597332853184,-1.3700164305096612,-0.3707592727663139,0
BTC/USDT,15m,long,reversion,2022-01-20 21:30:00+00:00,2022-01-20 21:30:00+00:00,41533.87470588235,41405.60998980637,42305.61000000001,42410.04,tp,3.4000000000000004,3,가격대 FVG,128.2647160759807,6.503685208881257,2.008465000368879,0
BTC/USDT,15m,long,reversion,2022-01-20 21:45:00+00:00,2022-01-20 21:45:00+00:00,41531.20705882352,41378.64034767734,42305.61000000001,41378.64034767734,sl,3.4000000000000004,3,가격대 돌파선,152.56671114618075,-1.2717167027578555,-0.4671707099064684,0
BTC/USDT,15m,short,reversion,2022-01-21 12:45:00+00:00,2022-01-21 21:45:00+00:00,38220.0,39341.5938299872,36782.48,36782.48,tp,4.25,4,피보 가격대 넥라인,1121.5938299871996,1.248240425873219,3.6630527472527388,36
BTC/USDT,15m,short,reversion,2022-01-22 07:30:00+00:00,2022-01-23 23:00:00+00:00,35440.45,36811.23202425495,33226.22072470588,36365.03,flip,4.25,4,피보 가격대 넥라인,1370.7820242549496,-0.700682328047047,-2.710131332982515,158
BTC/USDT,15m,short,reversion,2022-01-24 16:15:00+00:00,2022-01-24 18:00:00+00:00,34497.86675675675,35744.40284025556,32004.794589759134,35744.40284025556,sl,3.7,4,가격대 넥라인 돌파선 FVG,1246.5360834988096,-1.0281749844737162,-3.715178179955983,7
BTC/USDT,15m,short,reversion,2022-01-24 18:15:00+00:00,2022-01-24 18:45:00+00:00,36138.269090909096,36396.72346346355,34545.98777777777,36396.72346346355,sl,4.4,4,가격대 돌파선 FVG,258.4543725544572,-1.140324560651589,-0.8155395270599262,2
BTC/USDT,15m,short,reversion,2022-01-24 20:30:00+00:00,2022-01-24 20:30:00+00:00,36479.803125,36717.539644306504,36171.76,36092.2,tp,3.2,3,가격대 돌파선 FVG,237.73651930650522,1.4777583370965435,0.9630455576574646,0
BTC/USDT,15m,long,reversion,2022-01-26 13:00:00+00:00,2022-01-26 13:45:00+00:00,37546.210091743116,37006.543101957315,38205.99233178948,38205.99233178948,tp,5.45,5,피보 가격대 넥라인,539.666989785801,1.1523886963726224,1.6563752701404115,3
BTC/USDT,15m,long,reversion,2022-01-26 17:15:00+00:00,2022-01-26 17:30:00+00:00,38221.885613263155,38107.46977271378,38511.735948,38107.46977271378,sl,4.75,4,피보 가격대 FVG,114.41584054937266,-1.3335611355013355,-0.39919673190957133,1
BTC/USDT,15m,long,reversion,2022-01-26 19:30:00+00:00,2022-01-26 19:30:00+00:00,38219.80177679999,37913.47766919624,38933.839796,37913.47766919624,sl,3.75,3,피보 가격대,306.32410760375205,-1.1242691605984845,-0.9010793654502955,0
BTC/USDT,15m,short,reversion,2022-01-27 13:00:00+00:00,2022-01-27 14:30:00+00:00,36806.48342351648,37140.014850516156,36205.644912436976,37140.014850516156,sl,4.55,4,피보 돌파선 FVG,333.5314269996743,-1.1108538690629965,-1.0066288372987213,6
BTC/USDT,15m,long,reversion,2022-01-29 01:30:00+00:00,2022-01-29 04:00:00+00:00,37514.29132075472,37381.34601433864,37780.18193358687,37780.18193358687,tp,5.3,5,가격대 넥라인,132.94530641607707,1.7168216190397367,0.6084171342954521,10
BTC/USDT,15m,long,reversion,2022-01-29 15:00:00+00:00,2022-01-29 15:45:00+00:00,37479.91130434782,37396.42131236474,38000.0,37396.42131236474,sl,4.6000000000000005,4,가격대 돌파선,83.48999198307865,-1.4484150186041946,-0.322647930806087,3
BTC/USDT,15m,short,reversion,2022-01-30 23:00:00+00:00,2022-01-30 23:00:00+00:00,37994.790625,38073.78093199714,37469.30780487805,38073.78093199714,sl,3.2,3,가격대 돌파선 FVG,78.99030699714058,-1.4815057343665647,-0.3080016782580682,0
BTC/USDT,15m,short,reversion,2022-01-31 14:30:00+00:00,2022-01-31 15:00:00+00:00,37453.79172131147,37553.3147610546,37127.045,37553.3147610546,sl,6.1000000000000005,5,피보 가격대 돌파선,99.52303974312963,-1.3768328754626087,-0.36585506216275443,2
BTC/USDT,15m,short,reversion,2022-01-31 15:15:00+00:00,2022-01-31 16:00:00+00:00,37853.515411428576,38014.80727406594,37465.6687704918,38014.80727406594,sl,3.5,3,피보 돌파선 FVG,161.29186263736483,-1.2351895546524578,-0.5263078522951731,3
BTC/USDT,15m,short,reversion,2022-02-02 17:00:00+00:00,2022-02-02 19:30:00+00:00,37502.340000000004,37647.88430232294,37233.72,37647.88430232294,sl,6.0,5,가격대,145.54430232293817,-1.2581695851465808,-0.48828796942830666,10
BTC/USDT,15m,short,reversion,2022-02-02 20:45:00+00:00,2022-02-02 20:45:00+00:00,37472.18666666667,37580.086553817004,37170.16378436589,37580.086553817004,sl,3.5999999999999996,3,가격대,107.89988715033542,-1.3477866159207117,-0.38809057249370715,0
BTC/USDT,15m,long,reversion,2022-02-04 13:45:00+00:00,2022-02-04 13:45:00+00:00,37478.59321428571,37391.5219852938,38000.0,37391.5219852938,sl,5.6000000000000005,5,가격대 돌파선 FVG,87.07122899191017,-1.4299360194314916,-0.33220640347899155,0
BTC/USDT,15m,long,reversion,2022-02-05 15:45:00+00:00,2022-02-05 16:45:00+00:00,41772.324345098496,41252.36191932997,42812.24919663555,41252.36191932997,sl,3.2,3,빗각 가격대 넥라인,519.9624257685282,-1.0798371979876376,-1.3441310190502365,4
BTC/USDT,15m,long,reversion,2022-02-06 14:30:00+00:00,2022-02-06 14:30:00+00:00,41733.766551972476,41387.1704116018,42426.958832713826,41387.1704116018,sl,9.499999999999998,8,피보 빗각 가격대 넥라인,346.59614037067513,-1.1199103614868284,-0.9300780660884699,0
BTC/USDT,15m,long,reversion,2022-02-06 15:30:00+00:00,2022-02-06 17:15:00+00:00,41442.970940740735,41308.11001706995,41712.692788082306,41712.692788082306,tp,4.05,3,피보,134.86092367078527,1.6916984495382152,0.5505011110409578,7
BTC/USDT,15m,long,reversion,2022-02-06 18:45:00+00:00,2022-02-06 23:15:00+00:00,41431.63701,41321.95348636282,42119.47475586512,42119.47475586512,tp,3.0,2,피보,109.68352363717713,5.8902391950800554,1.5593450720430284,18
BTC/USDT,15m,long,reversion,2022-02-07 00:00:00+00:00,2022-02-07 15:30:00+00:00,42126.66808813077,41329.90121114458,43720.20184210315,43720.20184210315,tp,4.2,4,빗각 가격대 넥라인 FVG,796.7668769861921,1.9461279877403077,3.680828295661373,62
BTC/USDT,15m,long,reversion,2022-02-08 06:30:00+00:00,2022-02-08 09:00:00+00:00,44420.53809661437,43651.96902601941,45957.67623780429,43651.96902601941,sl,3.5,3,빗각 FVG,768.5690705949601,-1.0572964164785188,-1.8293459714262483,10
