symbol,timeframe,direction,mode,entry_ts,exit_ts,entry,sl,tp,exit_price,exit_reason,score,cnt,src,risk,r,pnl_pct,bars_held
BTC/USDT,1d,short,reversion,2022-06-13 00:00:00+00:00,2023-01-20 00:00:00+00:00,26673.333333333332,32957.17598598402,14105.648028031963,22667.21,flip,5.25,5,피보 가격대 넥라인 돌파선,6283.842652650685,0.633601648186908,14.926717301924516,221
BTC/USDT,1d,short,reversion,2023-06-16 00:00:00+00:00,2023-06-21 00:00:00+00:00,25811.459999999995,28893.619581938987,22604.942279999996,28893.619581938987,sl,4.25,4,피보 가격대 넥라인,3082.1595819389913,-1.0088744722860072,-12.047021446016464,5
BTC/USDT,1d,long,reversion,2023-07-04 00:00:00+00:00,2023-08-17 00:00:00+00:00,31124.696428571428,27549.280794617996,38275.52769647829,27549.280794617996,sl,4.2,4,빗각 가격대 넥라인 돌파선,3575.415633953431,-1.0082051967141945,-11.581647489599236,44
BTC/USDT,1d,short,reversion,2023-10-16 00:00:00+00:00,2023-10-16 00:00:00+00:00,28480.084300847455,28874.952222313335,27442.01344,28874.952222313335,sl,4.0,3,피보 빗각 돌파선,394.8679214658805,-1.0726255963136229,-1.4871635745644822,0
BTC/USDT,1d,long,reversion,2024-01-03 00:00:00+00:00,2024-01-23 00:00:00+00:00,44604.124040598,38905.16318947328,52711.06511294117,38905.16318947328,sl,5.75,5,피보 빗각 가격대 넥라인,5698.960851124721,-1.007326711782341,-12.870369317228702,20
BTC/USDT,1d,long,reversion,2024-04-24 00:00:00+00:00,2024-04-25 00:00:00+00:00,66244.22830434782,62805.04001544478,77926.67105882351,62805.04001544478,sl,4.6,4,피보 FVG,3439.1882889030458,-1.0187615881247598,-5.289084064751619,1
BTC/USDT,1d,short,reversion,2024-07-31 00:00:00+00:00,2024-08-01 00:00:00+00:00,66576.24557521126,68434.91501277885,64506.78941176471,64506.78941176471,tp,3.55,3,피보 FVG,1858.669437567587,1.078144723020547,3.0099544193870726,1
BTC/USDT,1d,short,reversion,2025-02-26 00:00:00+00:00,2025-05-08 00:00:00+00:00,89256.69,101294.22581378589,71351.97,101294.22581378589,sl,4.25,4,피보 가격대 넥라인,12037.535813785886,-1.0079148639207187,-13.593167382403246,71
BTC/USDT,1d,long,reversion,2025-05-22 00:00:00+00:00,2025-05-31 00:00:00+00:00,109316.07339449541,103260.54401567213,118233.25596470588,103260.54401567213,sl,5.45,5,피보 가격대 넥라인,6055.529378823281,-1.0175522736421334,-5.63669869964305,9
BTC/USDT,1d,long,reversion,2025-06-10 00:00:00+00:00,2025-06-13 00:00:00+00:00,109316.07339449541,103345.37732601717,118233.25596470588,103345.37732601717,sl,5.45,5,피보 가격대 넥라인,5970.696068478239,-1.0178087653668422,-5.559133808171071,3
BTC/USDT,1d,long,reversion,2025-07-04 00:00:00+00:00,2025-07-14 00:00:00+00:00,108080.49062863157,99028.25772697561,122210.29667529411,122210.29667529411,tp,4.75,4,피보 빗각 가격대 FVG,9052.232901655952,1.5481993012405635,12.966873643426972,10
BTC/USDT,1d,long,reversion,2025-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00,108044.02058823527,105785.68335795638,112148.18181818181,105785.68335795638,sl,3.4000000000000004,3,가격대 돌파선,2258.337230278892,-1.0473422881842551,-2.189155928643344,0
BTC/USDT,1d,short,reversion,2026-01-02 00:00:00+00:00,2026-01-05 00:00:00+00:00,89694.1239576,91896.60554562077,85955.31104890756,91896.60554562077,sl,3.75,3,피보 가격대,2202.4815880207752,-1.0412241197590226,-2.556775016673844,3
BTC/USDT,1d,short,reversion,2026-05-31 00:00:00+00:00,2026-06-02 00:00:00+00:00,74275.05968461538,76956.73331941417,70114.07804878049,70114.07804878049,tp,3.9000000000000004,3,피보 가격대,2681.67363479879,1.5247146460739922,5.504925993099007,2
BTC/USDT,1d,short,reversion,2026-06-07 00:00:00+00:00,2026-06-09 00:00:00+00:00,64119.34181727533,66247.25952220995,58510.687804878056,63329.42,eod,3.55,3,피보 빗각 FVG,2127.917704934618,0.3412713915968884,1.1325715701140253,2
