symbol,timeframe,direction,mode,entry_ts,exit_ts,entry,sl,tp,exit_price,exit_reason,score,cnt,src,risk,r,pnl_pct,bars_held
BTC/USDT,4h,short,reversion,2022-01-31 08:00:00+00:00,2022-02-01 16:00:00+00:00,37392.34627380282,39114.89783571577,35319.45059647058,39114.89783571577,sl,3.55,3,피보 FVG,1722.551561912951,-1.0222075338123855,-4.7089989247380695,8
BTC/USDT,4h,short,reversion,2022-02-24 20:00:00+00:00,2022-02-28 20:00:00+00:00,39550.959375,42469.196510036876,36250.0,42469.196510036876,sl,3.2,3,가격대 돌파선 FVG,2918.2371350368776,-1.01405303134901,-7.4821123425135525,24
BTC/USDT,4h,short,reversion,2022-03-09 00:00:00+00:00,2022-03-09 00:00:00+00:00,39832.791891891895,40825.68279980469,38801.87220941176,40825.68279980469,sl,3.7,3,피보 가격대 돌파선,992.8909079127916,-1.040617994408496,-2.593893363193945,0
BTC/USDT,4h,long,reversion,2022-04-04 00:00:00+00:00,2022-04-06 12:00:00+00:00,45924.86658378378,43851.87087319051,48239.446943749994,43851.87087319051,sl,3.7,3,피보 가격대 FVG,2072.99571059327,-1.0216538647422673,-4.611628158914649,15
BTC/USDT,4h,short,reversion,2022-04-06 16:00:00+00:00,2022-04-07 00:00:00+00:00,44266.05504587156,44880.456660910975,43096.449064788736,43096.449064788736,tp,5.45,5,피보 가격대 넥라인,614.4016150394164,1.8325549631819573,2.543539802362626,2
BTC/USDT,4h,short,reversion,2022-04-18 12:00:00+00:00,2022-04-18 12:00:00+00:00,39200.0,39534.34200999711,38596.00197560976,39534.34200999711,sl,4.25,4,피보 가격대 넥라인,334.34200999711175,-1.1177452124707232,-0.9533397474543631,0
BTC/USDT,4h,short,reversion,2022-04-18 16:00:00+00:00,2022-04-18 16:00:00+00:00,40891.68187042253,41833.45115214018,39200.0,39200.0,tp,3.55,3,피보 돌파선,941.7692817176503,1.7537586557027793,4.039051352108771,0
BTC/USDT,4h,short,reversion,2022-04-25 08:00:00+00:00,2022-04-25 12:00:00+00:00,38536.51,39020.215986881274,37408.59678400001,39020.215986881274,sl,4.25,4,피보 가격대 넥라인,483.7059868812721,-1.0801692847414746,-1.355816470860264,1
BTC/USDT,4h,short,reversion,2022-04-25 16:00:00+00:00,2022-04-25 16:00:00+00:00,39264.31324923077,39577.9637080762,38536.51,39577.9637080762,sl,3.25,3,피보 가격대 FVG,313.65045884542633,-1.1256849380159237,-0.8992175543296861,0
BTC/USDT,4h,short,reversion,2022-04-27 04:00:00+00:00,2022-04-27 04:00:00+00:00,38539.07952380952,39092.8137766234,37408.59678400001,39092.8137766234,sl,5.25,5,피보 가격대 넥라인 FVG,553.7342528138761,-1.0700985110691057,-1.5375307526429471,0
BTC/USDT,4h,short,reversion,2022-05-19 12:00:00+00:00,2022-05-30 20:00:00+00:00,29563.179989577467,31466.295155462118,26700.0,31466.295155462118,sl,3.55,3,피보 FVG,1903.1151658846502,-1.01603409931229,-6.540669522490049,68
BTC/USDT,4h,short,reversion,2022-07-01 00:00:00+00:00,2022-07-08 00:00:00+00:00,20720.37723943662,21974.941253194444,18581.037606557376,21974.941253194444,sl,3.55,3,피보 FVG,1254.564013757823,-1.0170159983964249,-6.157762758178577,42
BTC/USDT,4h,long,reversion,2022-07-25 00:00:00+00:00,2022-07-29 04:00:00+00:00,21981.28713809524,20017.791527053323,24276.739999999998,24276.739999999998,tp,4.2,4,피보 가격대 넥라인 돌파선,1963.4956110419153,1.157284913476287,10.33753771587653,25
BTC/USDT,4h,long,reversion,2022-07-30 16:00:00+00:00,2022-08-19 04:00:00+00:00,24326.582588679245,22262.113808660175,26628.167443243245,22262.113808660175,sl,5.3,5,피보 가격대 넥라인,2064.4687800190695,-1.0112834586912256,-8.582229421691613,117
BTC/USDT,4h,short,reversion,2022-09-09 04:00:00+00:00,2022-09-09 08:00:00+00:00,20724.892307692306,20916.84374514929,19794.53548,20916.84374514929,sl,3.9000000000000004,3,피보 가격대,191.95143745698442,-1.108469456140888,-1.026650958299224,1
BTC/USDT,4h,long,reversion,2022-09-13 12:00:00+00:00,2022-09-13 12:00:00+00:00,20753.55294117647,20501.8980959525,21895.03448275862,22522.74,tp,3.4000000000000004,3,가격대 FVG,251.65484522396946,6.944229151628886,8.420480663268446,0
BTC/USDT,4h,long,reversion,2022-09-13 16:00:00+00:00,2022-09-13 16:00:00+00:00,20739.141176470588,20443.36966052732,21895.03448275862,20443.36966052732,sl,3.4000000000000004,3,가격대 돌파선,295.7715159432664,-1.0696187912241308,-1.525438149390159,0
BTC/USDT,4h,short,reversion,2022-10-13 16:00:00+00:00,2022-10-25 16:00:00+00:00,19175.3712574365,20079.259847971825,17973.010559999995,20079.259847971825,sl,5.05,4,피보 빗각 FVG,903.8885905353236,-1.021714308332048,-4.816156587997607,72
BTC/USDT,4h,long,reversion,2022-10-29 04:00:00+00:00,2022-10-30 16:00:00+00:00,20720.795715063847,20563.568421914417,21894.0,20563.568421914417,sl,3.9000000000000004,3,빗각 가격대,157.2272931494299,-1.1312887963343021,-0.8584104474743186,9
BTC/USDT,4h,long,reversion,2022-11-05 00:00:00+00:00,2022-11-07 04:00:00+00:00,21106.81553301887,20749.836236133924,21690.149311764708,20749.836236133924,sl,5.3,5,피보 가격대 넥라인,356.97929688494696,-1.0586261614250463,-1.790453051424721,13
BTC/USDT,4h,short,reversion,2022-11-08 20:00:00+00:00,2022-11-09 16:00:00+00:00,18572.577358490566,19622.81349607993,16472.10508331184,16472.10508331184,tp,5.3,5,가격대 넥라인,1050.2361375893634,1.9833158081370912,11.215190513155097,5
BTC/USDT,4h,long,reversion,2022-12-15 16:00:00+00:00,2022-12-16 16:00:00+00:00,17365.0977443609,16769.47556812115,17963.51662,16769.47556812115,sl,6.65,6,피보 가격대 넥라인,595.6221762397508,-1.0286545520584698,-3.5282811068250686,6
BTC/USDT,4h,short,reversion,2022-12-20 00:00:00+00:00,2022-12-20 00:00:00+00:00,16682.74081081081,16784.814975507616,16478.5924814172,16784.814975507616,sl,3.7,4,가격대 넥라인 FVG,102.07416469680538,-1.1639374462956829,-0.7121608130060634,0
BTC/USDT,4h,short,reversion,2022-12-28 12:00:00+00:00,2022-12-28 12:00:00+00:00,16693.014806117648,16751.567838650153,16541.077914146343,16751.567838650153,sl,4.25,4,피보 가격대 넥라인,58.55303253250531,-1.285592233213551,-0.45093905881699897,0
