run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1d,reversion,False,False,2.5,11,0.2727,0.452,-0.4085,1.2337,-1.0243,-4.493,5.199,8.2058,5,-1.446,0.3492,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1d,reversion,False,False,2.5,12,0.25,0.397,-0.4625,1.2204,-1.0234,-5.549,6.215,9.7999,5,-1.786,0.3104,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1d,reversion,False,False,3.0,7,0.2857,0.335,-0.4863,0.8559,-1.0232,-3.404,5.116,8.0741,5,-1.096,0.2575,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,3.0,11,0.2727,0.446,-0.413,1.2204,-1.0256,-4.543,6.215,9.7999,5,-1.462,0.2919,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1d,reversion,False,False,4.0,6,0.1667,0.124,-0.747,0.6336,-1.0232,-4.482,5.116,8.0741,5,-1.443,0.2566,True,4,0.25,0.509,-0.3738,1.5482,-1.0144,-1.495,3.043,0.0,3,-1.121,0.191,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,4.0,8,0.25,0.273,-0.5575,0.8358,-1.022,-4.46,6.132,9.669,6,-1.436,0.261,True,7,0.2857,0.37,-0.4596,0.9436,-1.0208,-3.217,3.559,0.0,3,-2.411,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1d,reversion,False,False,2.5,11,0.2727,0.452,-0.4085,1.2337,-1.0243,-4.493,5.199,8.2058,5,-1.446,0.3492,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1d,reversion,False,False,2.5,12,0.25,0.397,-0.4625,1.2204,-1.0234,-5.549,6.215,9.7999,5,-1.786,0.3104,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1d,reversion,False,False,3.0,7,0.2857,0.335,-0.4863,0.8559,-1.0232,-3.404,5.116,8.0741,5,-1.096,0.2575,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,3.0,11,0.2727,0.446,-0.413,1.2204,-1.0256,-4.543,6.215,9.7999,5,-1.462,0.2919,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1d,reversion,False,False,4.0,6,0.1667,0.124,-0.747,0.6336,-1.0232,-4.482,5.116,8.0741,5,-1.443,0.2566,True,4,0.25,0.509,-0.3738,1.5482,-1.0144,-1.495,3.043,0.0,3,-1.121,0.191,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,4.0,8,0.25,0.273,-0.5575,0.8358,-1.022,-4.46,6.132,9.669,6,-1.436,0.261,True,7,0.2857,0.37,-0.4596,0.9436,-1.0208,-3.217,3.559,0.0,3,-2.411,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1d,reversion,False,False,2.5,11,0.2727,0.452,-0.4085,1.2337,-1.0243,-4.493,5.199,8.2058,5,-1.446,0.3492,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1d,reversion,False,False,2.5,12,0.25,0.397,-0.4625,1.2204,-1.0234,-5.549,6.215,9.7999,5,-1.786,0.3104,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1d,reversion,False,False,3.0,7,0.2857,0.335,-0.4863,0.8559,-1.0232,-3.404,5.116,8.0741,5,-1.096,0.2575,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,3.0,11,0.2727,0.446,-0.413,1.2204,-1.0256,-4.543,6.215,9.7999,5,-1.462,0.2919,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1d,reversion,False,False,4.0,6,0.1667,0.124,-0.747,0.6336,-1.0232,-4.482,5.116,8.0741,5,-1.443,0.2566,True,4,0.25,0.509,-0.3738,1.5482,-1.0144,-1.495,3.043,0.0,3,-1.121,0.191,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1d,reversion,False,False,4.0,8,0.25,0.273,-0.5575,0.8358,-1.022,-4.46,6.132,9.669,6,-1.436,0.261,True,7,0.2857,0.37,-0.4596,0.9436,-1.0208,-3.217,3.559,0.0,3,-2.411,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1d,reversion,False,False,2.5,11,0.2727,0.452,-0.4085,1.2337,-1.0243,-4.493,5.199,8.2058,5,-1.446,0.3492,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1d,reversion,False,False,2.5,12,0.25,0.397,-0.4625,1.2204,-1.0234,-5.549,6.215,9.7999,5,-1.786,0.3104,True,8,0.25,0.307,-0.533,0.9436,-1.0252,-4.264,4.607,0.0,3,-3.196,0.2177,True,False
BTCUSDT_1d_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1d,reversion,False,False,3.0,7,0.2857,0.335,-0.4863,0.8559,-1.0232,-3.404,5.116,8.0741,5,-1.096,0.2575,True,8,0.375,0.665,-0.2147,1.1381,-1.0264,-1.718,3.584,0.0,3,-1.287,0.2053,True,False
