run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag
BTCUSDT_4h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,4h,reversion,False,False,3.0,82,0.2683,0.646,-0.2763,1.8771,-1.0659,-22.658,22.658,0.0,9,-7.292,0.2163,False,35,0.4,1.266,0.1699,2.0222,-1.065,5.945,6.593,1.1405,6,4.464,0.2503,False,False
BTCUSDT_4h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,4h,reversion,False,False,4.0,39,0.2821,0.617,-0.293,1.6739,-1.0657,-11.427,13.26,7.2356,6,-3.677,0.1515,False,21,0.3333,0.85,-0.1057,1.7922,-1.0547,-2.22,6.155,1.5643,4,-1.667,0.1347,True,False
BTCUSDT_4h_reversion_neely-off_vol-on_mps3.0_default,BTC/USDT,4h,reversion,False,True,3.0,82,0.2683,0.646,-0.2763,1.8771,-1.0659,-22.658,22.658,0.0,9,-7.292,0.2163,False,35,0.4,1.266,0.1699,2.0222,-1.065,5.945,6.593,1.1405,6,4.464,0.2503,False,False
BTCUSDT_4h_reversion_neely-off_vol-on_mps4.0_default,BTC/USDT,4h,reversion,False,True,4.0,39,0.2821,0.617,-0.293,1.6739,-1.0657,-11.427,13.26,7.2356,6,-3.677,0.1515,False,21,0.3333,0.85,-0.1057,1.7922,-1.0547,-2.22,6.155,1.5643,4,-1.667,0.1347,True,False
BTCUSDT_4h_reversion_neely-on_vol-off_mps3.0_default,BTC/USDT,4h,reversion,True,False,3.0,24,0.3333,0.802,-0.1403,1.7074,-1.0642,-3.367,4.578,3.7817,4,-1.084,0.0852,True,9,0.4444,1.269,0.1553,1.6466,-1.0377,1.398,2.082,0.0,2,1.049,0.0631,True,False
BTCUSDT_4h_reversion_neely-on_vol-off_mps4.0_default,BTC/USDT,4h,reversion,True,False,4.0,11,0.4545,1.396,0.2275,1.7653,-1.0539,2.503,3.892,0.0,3,0.805,0.0688,True,5,0.2,0.297,-0.5826,1.2292,-1.0355,-2.913,3.131,0.0,3,-2.187,0.0593,True,True
BTCUSDT_4h_reversion_neely-on_vol-on_mps3.0_default,BTC/USDT,4h,reversion,True,True,3.0,24,0.3333,0.802,-0.1403,1.7074,-1.0642,-3.367,4.578,3.7817,4,-1.084,0.0852,True,9,0.4444,1.269,0.1553,1.6466,-1.0377,1.398,2.082,0.0,2,1.049,0.0631,True,False
BTCUSDT_4h_reversion_neely-on_vol-on_mps4.0_default,BTC/USDT,4h,reversion,True,True,4.0,11,0.4545,1.396,0.2275,1.7653,-1.0539,2.503,3.892,0.0,3,0.805,0.0688,True,5,0.2,0.297,-0.5826,1.2292,-1.0355,-2.913,3.131,0.0,3,-2.187,0.0593,True,True
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-off_vol-on_mps3.0_default,BTC/USDT,1h,reversion,False,True,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False
BTCUSDT_1h_reversion_neely-off_vol-on_mps4.0_default,BTC/USDT,1h,reversion,False,True,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-on_vol-off_mps3.0_default,BTC/USDT,1h,reversion,True,False,3.0,127,0.3465,0.792,-0.1602,1.7589,-1.1776,-20.348,35.681,2.5314,17,-6.549,0.0624,False,52,0.3846,1.2,0.1413,2.2013,-1.1461,7.35,9.399,3.5867,8,5.519,0.0785,False,False
BTCUSDT_1h_reversion_neely-on_vol-off_mps4.0_default,BTC/USDT,1h,reversion,True,False,4.0,71,0.3944,0.848,-0.1104,1.5657,-1.2018,-7.84,19.947,1.9485,9,-2.523,0.0312,False,25,0.36,0.891,-0.0752,1.7115,-1.0801,-1.879,6.609,1.3973,4,-1.411,0.0411,True,False
BTCUSDT_1h_reversion_neely-on_vol-on_mps3.0_default,BTC/USDT,1h,reversion,True,True,3.0,127,0.3465,0.792,-0.1602,1.7589,-1.1776,-20.348,35.681,2.5314,17,-6.549,0.0624,False,52,0.3846,1.2,0.1413,2.2013,-1.1461,7.35,9.399,3.5867,8,5.519,0.0785,False,False
BTCUSDT_1h_reversion_neely-on_vol-on_mps4.0_default,BTC/USDT,1h,reversion,True,True,4.0,71,0.3944,0.848,-0.1104,1.5657,-1.2018,-7.84,19.947,1.9485,9,-2.523,0.0312,False,25,0.36,0.891,-0.0752,1.7115,-1.0801,-1.879,6.609,1.3973,4,-1.411,0.0411,True,False
