run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-on_vol-off_mps3.0_default,BTC/USDT,1h,reversion,True,False,3.0,127,0.3465,0.792,-0.1602,1.7589,-1.1776,-20.348,35.681,2.5314,17,-6.549,0.0624,False,52,0.3846,1.2,0.1413,2.2013,-1.1461,7.35,9.399,3.5867,8,5.519,0.0785,False,False
BTCUSDT_1h_reversion_neely-on_vol-off_mps4.0_default,BTC/USDT,1h,reversion,True,False,4.0,71,0.3944,0.848,-0.1104,1.5657,-1.2018,-7.84,19.947,1.9485,9,-2.523,0.0312,False,25,0.36,0.891,-0.0752,1.7115,-1.0801,-1.879,6.609,1.3973,4,-1.411,0.0411,True,False
ETHUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,ETH/USDT,1h,reversion,False,False,3.0,490,0.3571,1.014,0.0102,2.0587,-1.1278,5.009,46.732,4.939,12,1.612,0.2046,False,185,0.3459,0.954,-0.0333,1.9947,-1.1059,-6.154,19.846,118.0137,9,-4.62,0.1874,False,True
ETHUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,ETH/USDT,1h,reversion,False,False,4.0,270,0.363,1.03,0.0213,2.0086,-1.111,5.762,31.627,1.8572,9,1.854,0.1246,False,101,0.3564,1.055,0.0387,2.0834,-1.0938,3.906,10.575,1.006,7,2.933,0.1231,False,False
ETHUSDT_1h_reversion_neely-on_vol-off_mps3.0_default,ETH/USDT,1h,reversion,True,False,3.0,139,0.3669,1.007,0.0052,1.9874,-1.1437,0.717,26.547,114.3619,16,0.231,0.0519,False,51,0.3529,0.836,-0.1175,1.6991,-1.1085,-5.995,17.996,14.4454,11,-4.501,0.0518,False,True
ETHUSDT_1h_reversion_neely-on_vol-off_mps4.0_default,ETH/USDT,1h,reversion,True,False,4.0,70,0.4429,1.501,0.3164,2.1405,-1.1335,22.148,15.695,94.8704,9,7.127,0.0228,False,23,0.3913,1.008,0.0057,1.7591,-1.1214,0.132,8.837,7.0933,8,0.099,0.0235,True,False
SOLUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,SOL/USDT,1h,reversion,False,False,3.0,450,0.3467,0.952,-0.0339,1.9172,-1.0691,-15.24,60.285,2.5894,9,-4.904,0.2008,False,168,0.3274,0.88,-0.0879,1.9708,-1.09,-14.771,42.601,2.7096,10,-11.091,0.124,False,False
SOLUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,SOL/USDT,1h,reversion,False,False,4.0,244,0.377,1.04,0.0268,1.8345,-1.0673,6.54,30.566,1.0244,7,2.105,0.1209,False,96,0.3021,0.864,-0.1011,2.1279,-1.0659,-9.704,29.203,2.3306,7,-7.286,0.0896,False,True
SOLUSDT_1h_reversion_neely-on_vol-off_mps3.0_default,SOL/USDT,1h,reversion,True,False,3.0,158,0.3671,1.103,0.0693,2.023,-1.0638,10.955,15.282,0.9164,8,3.525,0.0621,False,47,0.2553,0.619,-0.3059,1.95,-1.0794,-14.377,20.295,7.7426,12,-10.795,0.0398,False,True
SOLUSDT_1h_reversion_neely-on_vol-off_mps4.0_default,SOL/USDT,1h,reversion,True,False,4.0,74,0.3784,1.176,0.1158,2.0463,-1.0593,8.569,10.75,0.6815,6,2.758,0.038,False,22,0.3182,0.878,-0.0892,2.0193,-1.0732,-1.963,7.069,1.9422,4,-1.474,0.0243,True,True
XRPUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,XRP/USDT,1h,reversion,False,False,3.0,471,0.3291,0.902,-0.0729,2.0475,-1.113,-34.335,52.585,4.4851,10,-11.049,0.2174,False,191,0.3194,0.863,-0.1054,2.0725,-1.1274,-20.135,30.32,7.6956,10,-15.118,0.1589,False,False
XRPUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,XRP/USDT,1h,reversion,False,False,4.0,284,0.3275,0.867,-0.1004,1.9917,-1.1191,-28.513,47.852,3.3691,11,-9.175,0.138,False,102,0.3333,0.929,-0.0537,2.1,-1.1305,-5.472,21.74,4.8409,6,-4.109,0.0725,False,False
XRPUSDT_1h_reversion_neely-on_vol-off_mps3.0_default,XRP/USDT,1h,reversion,True,False,3.0,137,0.3285,0.803,-0.1448,1.8011,-1.0966,-19.839,31.765,5.297,10,-6.384,0.069,False,64,0.3438,0.875,-0.0917,1.875,-1.1218,-5.867,11.101,0.0,7,-4.405,0.0479,False,False
XRPUSDT_1h_reversion_neely-on_vol-off_mps4.0_default,XRP/USDT,1h,reversion,True,False,4.0,80,0.275,0.572,-0.3458,1.6805,-1.1143,-27.66,30.978,10.3227,11,-8.901,0.0275,False,28,0.3571,0.776,-0.1624,1.5712,-1.1255,-4.547,9.217,8.0615,6,-3.414,0.0225,True,False
