run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag,use_btc_bias
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False,True
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False,True
ETHUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,ETH/USDT,1h,reversion,False,False,3.0,490,0.3571,1.014,0.0102,2.0587,-1.1278,5.009,46.732,4.939,12,1.612,0.2046,False,185,0.3459,0.954,-0.0333,1.9947,-1.1059,-6.154,19.846,118.0137,9,-4.62,0.1874,False,True,False
ETHUSDT_1h_reversion_neely-off_vol-off_mps3.0_default_btcb,ETH/USDT,1h,reversion,False,False,3.0,407,0.3612,1.021,0.0149,2.0178,-1.1175,6.059,39.73,3.8686,10,1.95,0.1839,False,157,0.3439,0.949,-0.0367,1.9817,-1.0949,-5.767,17.054,0.0,10,-4.33,0.1619,False,True,True
ETHUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,ETH/USDT,1h,reversion,False,False,4.0,270,0.363,1.03,0.0213,2.0086,-1.111,5.762,31.627,1.8572,9,1.854,0.1246,False,101,0.3564,1.055,0.0387,2.0834,-1.0938,3.906,10.575,1.006,7,2.933,0.1231,False,False,False
ETHUSDT_1h_reversion_neely-off_vol-off_mps4.0_default_btcb,ETH/USDT,1h,reversion,False,False,4.0,234,0.3675,1.037,0.0257,1.9701,-1.1042,6.009,26.14,1.8897,9,1.934,0.1112,False,87,0.3563,1.045,0.032,2.0721,-1.0973,2.782,13.779,1.8714,7,2.089,0.098,False,False,True
SOLUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,SOL/USDT,1h,reversion,False,False,3.0,450,0.3467,0.952,-0.0339,1.9172,-1.0691,-15.24,60.285,2.5894,9,-4.904,0.2008,False,168,0.3274,0.88,-0.0879,1.9708,-1.09,-14.771,42.601,2.7096,10,-11.091,0.124,False,False,False
SOLUSDT_1h_reversion_neely-off_vol-off_mps3.0_default_btcb,SOL/USDT,1h,reversion,False,False,3.0,372,0.3441,0.936,-0.0451,1.9196,-1.0758,-16.789,56.867,3.3329,9,-5.403,0.1758,False,141,0.3688,1.073,0.0502,1.9905,-1.0835,7.076,23.456,1.3704,9,5.313,0.1105,False,False,True
