run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag,use_btc_bias
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,475,0.3705,0.855,-0.0665,1.0575,-0.7282,-31.61,43.65,1331.5227,10,-10.173,0.0224,False,170,0.3588,0.969,-0.0143,1.2359,-0.7139,-2.425,17.278,2.1419,11,-1.821,0.0197,False,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,475,0.3705,0.855,-0.0665,1.0575,-0.7282,-31.61,43.65,1331.5227,10,-10.173,0.0224,False,170,0.3588,0.969,-0.0143,1.2359,-0.7139,-2.425,17.278,2.1419,11,-1.821,0.0197,False,False,True
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,363,0.3609,0.813,-0.0926,1.1134,-0.7736,-33.623,42.654,46.4019,10,-10.821,0.0196,False,121,0.3719,1.263,0.1111,1.4355,-0.6731,13.441,8.641,0.5649,7,10.093,0.0166,False,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,363,0.3609,0.813,-0.0926,1.1134,-0.7736,-33.623,42.654,46.4019,10,-10.821,0.0196,False,121,0.3719,1.263,0.1111,1.4355,-0.6731,13.441,8.641,0.5649,7,10.093,0.0166,False,False,True
ETHUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,ETH/USDT,1h,reversion,False,False,3.0,402,0.4055,0.951,-0.0196,0.9312,-0.668,-7.864,35.325,0.0,12,-2.531,0.0181,False,169,0.3905,0.752,-0.0987,0.7663,-0.653,-16.679,21.158,7.5959,6,-12.523,0.017,False,False,False
ETHUSDT_1h_reversion_neely-off_vol-off_mps3.0_default_btcb,ETH/USDT,1h,reversion,False,False,3.0,346,0.4075,1.019,0.0074,0.9503,-0.6411,2.559,25.771,0.0,12,0.823,0.0173,False,143,0.3846,0.781,-0.0818,0.7566,-0.6058,-11.699,15.641,6.309,6,-8.784,0.0155,False,True,True
ETHUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,ETH/USDT,1h,reversion,False,False,4.0,301,0.4053,0.883,-0.05,0.9359,-0.722,-15.064,31.141,0.0,10,-4.848,0.0161,False,131,0.3664,0.84,-0.0681,0.9758,-0.6718,-8.923,12.851,3.6361,8,-6.7,0.0147,False,False,False
ETHUSDT_1h_reversion_neely-off_vol-off_mps4.0_default_btcb,ETH/USDT,1h,reversion,False,False,4.0,262,0.416,1.013,0.0054,0.9873,-0.6941,1.411,18.509,0.0,10,0.454,0.015,False,110,0.3545,0.861,-0.0554,0.9705,-0.6189,-6.091,11.999,2.6837,8,-4.573,0.0136,False,True,True
SOLUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,SOL/USDT,1h,reversion,False,False,3.0,437,0.3959,0.999,-0.0004,0.8968,-0.5883,-0.167,17.113,14.959,15,-0.054,0.0212,False,174,0.4655,1.165,0.061,0.9258,-0.6922,10.615,13.4,0.6601,7,7.97,0.0187,False,False,False
SOLUSDT_1h_reversion_neely-off_vol-off_mps3.0_default_btcb,SOL/USDT,1h,reversion,False,False,3.0,369,0.3875,0.977,-0.008,0.8928,-0.578,-2.948,22.409,13.785,17,-0.949,0.0181,False,142,0.4789,1.184,0.0648,0.8701,-0.6753,9.195,11.499,0.7338,6,6.904,0.0159,False,False,True
SOLUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,SOL/USDT,1h,reversion,False,False,4.0,336,0.4048,0.985,-0.0053,0.8563,-0.5912,-1.775,16.382,3.3993,15,-0.571,0.015,False,141,0.4397,1.078,0.0297,0.934,-0.6799,4.194,12.84,0.8076,6,3.149,0.0177,False,False,False
SOLUSDT_1h_reversion_neely-off_vol-off_mps4.0_default_btcb,SOL/USDT,1h,reversion,False,False,4.0,281,0.3843,0.899,-0.0357,0.8242,-0.5726,-10.04,21.464,44.6125,16,-3.231,0.0123,False,114,0.4561,1.126,0.0443,0.8688,-0.6472,5.048,10.723,0.775,6,3.79,0.0152,False,False,True
